track_name,artist_name,album,genres,release_date,duration_ms,popularity,added_at
Takes One To Know One,The Beaches,Takes One To Know One,"canadian indie rock, toronto indie",2024-07-12,167996,61,2024-08-06 14:18:25
What If You Change?,The Wldlfe,Turtleneck,"hopebeat, indy indie",2024-06-12,205666,24,2024-06-15 08:10:21
Intrusive Thoughts,Natalie Jane,Where Am I?,singer-songwriter pop,2023-11-17,201066,60,2024-06-14 13:29:27
Shut Up About It,Sadie Jean,Simple Like 17 (Deluxe),"alt z, singer-songwriter pop",2024-05-17,198287,48,2024-06-14 13:00:51
Unfinished Business (Acoustic),"NERIAH, JC Stewart",Unfinished Business (Acoustic),"alt z, singer-songwriter pop",2022-09-30,208000,47,2024-06-13 19:15:26
Love Me Better,Corbyn Besson,Love Me Better,,2024-02-07,151544,46,2024-06-13 19:04:20
lesson learned,Matt Hansen,lesson learned,"gen z singer-songwriter, singer-songwriter pop",2024-04-12,188818,58,2024-06-13 19:01:50
GRAVITY,Matt Hansen,GRAVITY,"gen z singer-songwriter, singer-songwriter pop",2024-03-01,174248,68,2024-06-13 19:00:53
Potential,Lauv,Potential,pop,2024-04-24,177662,60,2024-06-13 18:58:24
Magic,Will Linley,Magic,singer-songwriter pop,2023-11-10,193386,41,2024-06-13 18:55:41
something to remember,Matt Hansen,something to remember,"gen z singer-songwriter, singer-songwriter pop",2023-10-27,162224,76,2024-06-13 18:54:25
24 Hours in Paris,Blusher,24 Hours in Paris,,2024-06-05,180673,43,2024-06-13 18:49:59
What If You're The Love of My Life?,Chloe Adams,What If You're The Love of My Life?,alt z,2024-05-31,128382,32,2024-06-13 18:48:36
Stardust,ZAYN,ROOM UNDER THE STAIRS (Z SIDES),"pop, uk pop",2024-05-20,232380,43,2024-06-13 15:32:55
Stardust,ZAYN,ROOM UNDER THE STAIRS,"pop, uk pop",2024-05-17,232380,64,2024-06-13 15:31:52
2053,Bellah Mae,2053,,2024-03-08,206581,47,2024-06-13 15:21:46
Cozy,"Jeremy Zucker, Lauv, Alexander 23",Cozy,"alt z, electropop, pop",2024-05-22,165339,61,2024-06-13 15:19:36
strangers,Alexander Stewart,bleeding heart,singer-songwriter pop,2024-05-10,141133,39,2024-06-13 12:59:57
day i die,Alexander Stewart,bleeding heart,singer-songwriter pop,2024-05-10,175600,57,2024-06-13 12:48:34
i wish you cheated,Alexander Stewart,bleeding heart,singer-songwriter pop,2024-05-10,190666,58,2024-06-13 12:16:31
